Year,Period,Trade Flow,Reporter,Reporter ISO,Partner,Customs,Mode of Transport,Commodity Code,Commodity,Trade_value,CIF Trade Value (US$),FOB Trade Value (US$)
2016,2016,M,Belarus,BLR,World,All CPCs,All MOTs,TOTAL,All Commodities,27609883700 ,27609883700,
2019,2019,M,Croatia,HRV,World,All CPCs,All MOTs,TOTAL,All Commodities,28004414329 ,28004414329,
2018,2018,M,Croatia,HRV,World,All CPCs,All MOTs,TOTAL,All Commodities,28113089203 ,28113089203,
2015,2015,M,Lithuania,LTU,World,All CPCs,All MOTs,TOTAL,All Commodities,28176441602 ,28176441602,
2016,2016,M,Bulgaria,BGR,World,All CPCs,All MOTs,TOTAL,All Commodities,28958139912 ,28958139913,
2015,2015,M,Oman,OMN,World,All CPCs,All MOTs,TOTAL,All Commodities,29007019875 ,29007019876,
2019,2019,M,Qatar,QAT,World,All CPCs,All MOTs,TOTAL,All Commodities,29178064574 ,29178064574,
2015,2015,M,Bulgaria,BGR,World,All CPCs,All MOTs,TOTAL,All Commodities,29265116176 ,29265116176,
2017,2017,M,Kazakhstan,KAZ,World,All CPCs,All MOTs,TOTAL,All Commodities,29599360478 ,29599360479,
2017,2017,M,Qatar,QAT,World,All CPCs,All MOTs,TOTAL,All Commodities,29896356991 ,29896356991,
2015,2015,M,Belarus,BLR,World,All CPCs,All MOTs,TOTAL,All Commodities,30291492800 ,30291492800,
2015,2015,M,Kazakhstan,KAZ,World,All CPCs,All MOTs,TOTAL,All Commodities,30567159492 ,30567159492,
2016,2016,M,Kuwait,KWT,World,All CPCs,All MOTs,TOTAL,All Commodities,30784103261 ,30784103261,
2015,2015,M,Kuwait,KWT,World,All CPCs,All MOTs,TOTAL,All Commodities,30957201416 ,30957201417,
2017,2017,M,Lithuania,LTU,World,All CPCs,All MOTs,TOTAL,All Commodities,30978718199 ,30978718200,
2017,2017,M,Slovenia,SVN,World,All CPCs,All MOTs,TOTAL,All Commodities,31149443532 ,31149443533,
2017,2017,M,Nigeria,NGA,World,All CPCs,All MOTs,TOTAL,All Commodities,31270090265 ,31270090265,
2018,2018,M,Qatar,QAT,World,All CPCs,All MOTs,TOTAL,All Commodities,31695930258 ,31695930259,
2016,2016,M,Qatar,QAT,World,All CPCs,All MOTs,TOTAL,All Commodities,32060032933 ,32060032933,
2015,2015,M,Qatar,QAT,World,All CPCs,All MOTs,TOTAL,All Commodities,32610463580 ,32610463580,
2020,2020,M,Lithuania,LTU,World,All CPCs,All MOTs,TOTAL,All Commodities,33125303632 ,33125303632,
2019,2019,M,Kuwait,KWT,World,All CPCs,All MOTs,TOTAL,All Commodities,33530892789 ,33530892789,
2017,2017,M,Kuwait,KWT,World,All CPCs,All MOTs,TOTAL,All Commodities,33597829177 ,33597829177,
2018,2018,M,Kazakhstan,KAZ,World,All CPCs,All MOTs,TOTAL,All Commodities,33658429453 ,33658429453,
2015,2015,M,Nigeria,NGA,World,All CPCs,All MOTs,TOTAL,All Commodities,33830878655 ,33830878655,
2017,2017,M,Belarus,BLR,World,All CPCs,All MOTs,TOTAL,All Commodities,34234849200 ,34234849200,
2017,2017,M,Bulgaria,BGR,World,All CPCs,All MOTs,TOTAL,All Commodities,34263590069 ,34263590070,
2016,2016,M,Nigeria,NGA,World,All CPCs,All MOTs,TOTAL,All Commodities,35194301007 ,35194301007,
2019,2019,M,Lithuania,LTU,World,All CPCs,All MOTs,TOTAL,All Commodities,35759415639 ,35759415639,
2018,2018,M,Kuwait,KWT,World,All CPCs,All MOTs,TOTAL,All Commodities,35866655317 ,35866655317,
2016,2016,M,Peru,PER,World,All CPCs,All MOTs,TOTAL,All Commodities,36147726687 ,36147726688,34291179804
2016,2016,M,New Zealand,NZL,World,All CPCs,All MOTs,TOTAL,All Commodities,36213017538 ,36213017538,
2018,2018,M,Slovenia,SVN,World,All CPCs,All MOTs,TOTAL,All Commodities,36267337521 ,36267337522,
